Player ID ,No. ,First Name ,Last Name ,GP,GS,Min Played ,AVG,FG,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,OFF,DEF,TOT,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,Effective FG %,True Shooting %,Possessions ,Points/ per possession ,Assist to turnover 
18,11,Taylor,Hosendove,27,24,740:43:00,27.4,114,261,0.437,6,20,0.3,75,113,0.664,96,144,240,8.9,76,3,44,91,12,28,309,11.4,0.438,0.497,297.131,1.040,0.484
32,32,Taylor  ,Henderson ,29,22,842:12:00,29,108,273,0.396,2,22,0.091,55,84,0.655,16,87,103,3.6,56,0,49,63,3,20,273,9.4,0.396,0.440,345.202,0.791,0.778
15,13,Jada,Lewis ,25,18,698:33:00,27.9,79,253,0.312,25,119,0.21,38,57,0.667,9,59,68,2.7,45,0,24,36,2,34,221,8.8,0.312,0.397,294.317,0.751,0.667
14,0,Allison ,Johnson ,8,4,202:25:00,25.3,23,68,0.338,4,14,0.286,15,21,0.714,21,20,41,5.1,27,2,10,30,2,4,65,8.1,0.340,0.421,83.990,0.774,0.333
27,12,Tahya,Lyons ,27,18,528:15:00,19.6,57,159,0.358,4,19,0.211,33,47,0.702,11,33,44,1.6,40,0,28,51,2,31,151,5.6,0.359,0.420,212.933,0.709,0.549
21,1,Moriah ,Taylor ,28,3,482:16:00,17.2,47,148,0.318,32,106,0.302,12,18,0.667,11,34,45,1.6,36,1,25,32,3,29,138,4.9,0.319,0.443,171.123,0.806,0.781
13,30,Shaquanda,Miller-McCray,29,20,687:40:00,23.7,47,99,0.475,0,3,0,30,41,0.732,71,134,205,7.1,73,2,26,56,71,28,124,4.3,0.475,0.530,100.198,1.238,0.464
26,10,Kamryn,Dziak,29,22,656:21:00,22.6,42,146,0.288,33,119,0.277,5,6,0.833,9,23,32,1.1,31,0,25,35,1,15,122,4.2,0.289,0.410,169.054,0.722,0.714
17,4,Joelle ,Johnson ,26,8,386:06:00,14.9,42,109,0.385,2,12,0.167,13,22,0.591,24,59,83,3.2,32,0,13,27,3,9,99,3.8,0.386,0.417,117.893,0.840,0.481
33,14,Ashley ,Foster ,15,1,215:52:00,14.4,20,67,0.299,7,28,0.25,10,20,0.5,7,17,24,1.6,31,0,9,19,2,7,57,3.8,0.301,0.376,85.048,0.670,0.474
16,2,Kennedy ,Powell,21,4,216:21:00,10.3,18,54,0.333,4,22,0.182,10,11,0.909,2,5,7,0.3,14,0,8,7,4,7,50,2.4,0.335,0.425,61.566,0.812,1.143
12,15,Madison,Ervin,9,1,138:01:00,15.3,8,33,0.242,4,21,0.19,0,2,0,1,7,8,0.9,3,0,3,9,0,2,20,2.2,0.245,0.295,40.565,0.493,0.333
11,33,Rakeah,Williams,6,0,36:30:00,6.1,1,10,0.1,0,0,0,2,6,0.333,3,3,6,1,8,0,0,4,0,2,4,0.7,0.100,0.158,13.254,0.302,0.000
10,5,Emma,Drash,6,0,14:38,2.4,1,4,0.25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,0.250,0.250,3.840,0.521,#DIV/0!
