Player ID ,No. ,First Name ,Last Name ,GP,GS,Min Played ,AVG,FG,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,OFF,DEF,TOT,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,,,,,
18,11,Taylor ,Hosendove,24,23,641:53:00,26.7,107,228,0.469,10,29,0.345,75,103,0.728,54,158,212,8.8,66,0.2,54,74,23,33,299,12.5,,,,,
31,21,Taniyah ,Worth ,22,10,481:35:00,21.9,62,166,0.373,24,85,0.282,39,54,0.722,27,44,71,3.2,36,1,23,31,20,28,187,8.5,,,,,
25,35,Hannah,Sadler ,23,19,436:06:00,19,72,154,0.468,3,13,0.231,41,55,0.745,26,54,80,3.5,53,0,4,30,29,10,188,8.2,,,,,
27,12,Tahya ,Lyons ,22,7,425:49:00,19.4,48,118,0.407,6,17,0.353,32,50,0.64,6,39,45,2,27,0,46,31,1,29,134,6.1,,,,,
33,14,Ashley ,Foster ,22,22,440:20:00,20,49,114,0.43,13,47,0.277,13,30,0.433,16,21,37,1.7,57,2,26,40,2,25,124,5.6,,,,,
17,4,Joelle,Johnson ,24,1,368:28:00,15.4,50,110,0.455,11,33,0.333,21,33,0.636,10,52,62,2.6,30,0,19,26,4,18,132,5.5,,,,,
26,10,Kamryn ,Dziak ,22,15,479:17:00,21.8,35,109,0.321,30,89,0.337,11,12,0.917,5,21,26,1.2,27,0,24,26,0,9,111,5,,,,,
32,32,Taylor ,Henderson ,24,18,622:50:00,26,40,150,0.267,18,53,0.34,22,36,0.611,5,54,59,2.5,56,1,66,46,2,18,120,5,,,,,
21,1,Moriah ,Taylor ,24,0,369:34:00,15.4,38,105,0.362,30,88,0.341,11,16,0.688,8,21,29,1.2,30,0,22,21,1,20,117,4.9,,,,,
29,30,Elexus ,Bell,24,5,289:54:00,12.1,47,98,0.48,0,0,0,17,38,0.447,23,45,68,2.8,32,0,8,28,3,6,111,4.6,,,,,
30,33,Deasia,Merrill,17,0,165:29:00,9.7,23,80,0.288,6,20,0.3,11,20,0.55,9,40,49,2.9,29,0,6,18,15,8,63,3.7,,,,,
16,2,Kennedy ,Powell ,5,0,64:25:00,12.9,6,16,0.375,2,10,0.2,3,3,1,3,9,12,2.4,8,0,4,6,1,2,17,3.4,,,,,
19,5,Ciara ,Smith ,15,0,62:18:00,4.2,1,6,0.167,0,4,0,0,0,0,0,2,2,0.1,7,0,2,4,0,2,2,0.1,,,,,
