Player ID ,No. ,First Name ,Last Name ,GP,GS,Min Played ,AVG,FG,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,OFF,DEF,TOT,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,Effective FG %,True Shooting %,Possessions ,Points/ per possession ,Assist to turnover 
33,14,Ashley,Foster ,24,23,625:47:00,26.1,93,241,0.386,23,84,0.274,55,83,0.663,21,69,90,3.8,55,0,44,68,4,36,264,11,0.387,0.476,314.26,0.840,0.647
32,32,Taylor ,Henderson ,13,9,320:16:00,24.6,47,104,0.452,5,19,0.263,15,28,0.536,3,37,40,3.1,20,1,31,22,0,9,114,8.8,0.453,0.490,130.79,0.872,1.409
31,21,Taniyah ,Worth ,24,11,486:08:00,20.3,63,174,0.362,32,108,0.296,21,30,0.700,17,71,88,3.7,47,0,17,25,21,33,179,7.5,0.363,0.478,188.39,0.950,0.680
30,11,Deasia ,Merrill ,23,20,365:55:00,15.9,64,151,0.424,1,15,0.067,37,60,0.617,31,58,89,3.9,67,3,13,32,15,19,166,7.2,0.424,0.468,172.54,0.962,0.406
29,30,Elexus,Bell,23,0,290:08:00,12.6,55,59,0.579,0,1,0.000,27,59,0.458,27,43,70,3,49,2,9,30,4,6,137,6,0.579,0.806,85.64,1.600,0.300
28,13,Nyla ,Jean ,24,10,347:30:00,14.5,41,124,0.331,12,45,0.267,40,55,0.727,20,28,48,2,34,0,34,36,5,17,134,5.6,0.332,0.452,159.07,0.842,0.944
27,12,Tehya,Lyons ,22,3,388:22:00,17.7,35,103,0.340,1,3,0.333,35,53,0.660,9,34,43,2,26,0,39,36,1,22,106,4.8,0.342,0.420,148.63,0.713,1.083
26,10,Kamryn,Dziak,26,19,613:38:00,23.6,39,134,0.291,38,121,0.314,8,12,0.667,1,33,34,1.3,18,0,24,20,4,18,124,4.8,0.292,0.445,152.75,0.812,1.200
25,35,Hannah ,Sadler ,13,0,162:58:00,12.5,21,51,0.412,0,0,0.000,18,24,0.750,9,22,31,2.4,28,0,2,18,5,5,60,4.6,0.412,0.487,68.46,0.876,0.111
24,2,Mikyla ,Tolivert,22,0,369:06:00,16.8,41,100,0.410,4,30,0.133,15,20,0.750,8,38,46,2.1,27,0,20,21,2,22,101,4.6,0.411,0.464,117.77,0.858,0.952
23,55,Alex ,Gitchenko ,25,18,510:57:00,20.4,36,101,0.356,3,25,0.120,17,30,0.567,19,58,77,3.1,56,1,30,36,6,22,92,3.7,0.357,0.403,127.39,0.722,0.833
22,20,Alyssa ,Phillip ,26,6,353:01:00,13.6,38,77,0.494,8,18,0.444,9,16,0.563,40,38,78,3,46,0,15,23,5,16,93,3.6,0.497,0.553,65.28,1.425,0.652
21,4,Moriah ,Taylor ,22,0,178:05:00,8.1,20,48,0.417,18,37,0.486,7,8,0.875,4,13,17,0.8,16,0,8,3,0,5,65,3,0.422,0.631,48.62,1.337,2.667
20,1,Jenae ,Dublin ,17,0,132:16:00,7.8,12,38,0.316,2,8,0.250,8,11,0.727,9,21,30,1.8,19,0,3,13,2,6,34,2,0.319,0.397,45.49,0.747,0.231
19,5,Ciara ,Smith ,19,11,155:51:00,8.2,6,27,0.222,1,6,0.167,0,2,0.000,1,18,19,1,17,0,14,19,0,4,13,0.7,0.225,0.233,44.80,0.290,0.737
