,Order Date,Brand,Sneaker Name,Sale Price,Retail Price,Release Date,Shoe Size,Buyer Region,Profit,Time to sale ,Months to sale 
128,2017-09-07,Off-White,Nike-Air-Max-90-Off-White,1600.0,160,2017-09-09,8.0,California,1440.0,-2 days,0
129,2017-09-07,Off-White,Nike-Air-Max-90-Off-White,1090.0,160,2017-09-09,11.5,New York,930.0,-2 days,0
130,2017-09-07,Off-White,Nike-Air-Presto-Off-White,1344.0,160,2017-09-09,10.0,New York,1184.0,-2 days,0
131,2017-09-07,Off-White,Nike-Air-Presto-Off-White,1325.0,160,2017-09-09,10.0,Massachusetts,1165.0,-2 days,0
132,2017-09-07,Off-White,Nike-Air-VaporMax-Off-White,1800.0,250,2017-09-09,12.0,Kentucky,1550.0,-2 days,0
149,2017-09-08,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2450.0,190,2017-09-09,13.0,New York,2260.0,-1 days,0
150,2017-09-08,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2325.0,190,2017-09-09,12.0,Illinois,2135.0,-1 days,0
151,2017-09-08,Off-White,Nike-Air-Max-90-Off-White,850.0,160,2017-09-09,11.0,New Jersey,690.0,-1 days,0
152,2017-09-08,Off-White,Nike-Air-Presto-Off-White,1299.0,160,2017-09-09,11.0,Colorado,1139.0,-1 days,0
153,2017-09-08,Off-White,Nike-Air-VaporMax-Off-White,2399.0,250,2017-09-09,11.5,Kentucky,2149.0,-1 days,0
154,2017-09-08,Off-White,Nike-Blazer-Mid-Off-White,720.0,130,2017-09-09,9.0,New York,590.0,-1 days,0
155,2017-09-08,Off-White,Nike-Blazer-Mid-Off-White,750.0,130,2017-09-09,10.5,Florida,620.0,-1 days,0
172,2017-09-09,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2799.0,190,2017-09-09,10.5,Massachusetts,2609.0,0 days,0
173,2017-09-09,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2550.0,190,2017-09-09,10.0,Delaware,2360.0,0 days,0
174,2017-09-09,Off-White,Nike-Air-Max-90-Off-White,949.0,160,2017-09-09,11.5,New York,789.0,0 days,0
